	1-Dry-Soil	2-Dry-Soil	NEGATIVE	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
2f393243b8b1f552d5c3d4b6dd5dc26c	42.0	0.0	0.0	0.0	33.0	91.0	41.0	109.0	44.0	0.0	0.0	27.0	0.0	40.0	0.0	35.0	0.0	0.0	0.0	0.0	38.0	92.0	84.0	30.0	20.0	0.0	76.0	79.0	130.0	80.0	0.0
c9aaf8d6115e571ac6cff9eb42970eb6	169.0	0.0	0.0	0.0	0.0	164.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	247.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.0	0.0	0.0	0.0
664d6dcf68ef395cec78b0333057f86b	82.0	0.0	0.0	0.0	0.0	81.0	0.0	67.0	118.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	138.0	0.0	0.0	73.0	0.0	111.0	62.0	0.0
e3c6283bff2ccaf624c169d93f6cf67f	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	126.0	0.0	173.0	0.0	0.0	99.0	0.0	72.0	92.0	123.0	0.0	0.0	0.0	0.0	0.0	134.0	0.0	0.0	98.0	0.0
d76b204df2487166ff4544dc3116c914	0.0	0.0	0.0	0.0	0.0	127.0	133.0	79.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	233.0	145.0	50.0	0.0	0.0	0.0	148.0	0.0	0.0	0.0	0.0	63.0	0.0
780648e7137170f4d1c3b8c7f2cc1cfb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	103.0	0.0	0.0	170.0	0.0	57.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	262.0	0.0	51.0	0.0
4e38feaa511714762b4de5e152046065	140.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	132.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	170.0	0.0	0.0	257.0	0.0	0.0	0.0	0.0
cf9f37f0c29640fbdca56829eaddf68a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	168.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	94.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	140.0	0.0
3c970c2bda125f7e7462be4f26b6998f	0.0	0.0	0.0	0.0	173.0	0.0	0.0	315.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	247.0	0.0
bf218536d7ea486a566dc3ec0ee60096	175.0	148.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	126.0	56.0	0.0
f0c5133ad5dfd9efaf9b4c60a61eb9af	0.0	0.0	0.0	69.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	145.0	0.0	0.0	179.0	0.0	0.0	0.0	78.0	286.0	0.0	0.0	0.0	0.0
a0452c68c0d3ffbf69f89c864685cb73	0.0	0.0	0.0	0.0	0.0	149.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	0.0	286.0	0.0	161.0	0.0	0.0	121.0	0.0
81f17167c799b19ba30f55aa111970fa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	0.0	99.0	42.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	276.0	0.0
f6f9b28dfcb3683ac59693c82c5b22c9	0.0	0.0	0.0	0.0	203.0	0.0	0.0	128.0	63.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	72.0	94.0	0.0	0.0	0.0	91.0
d854ceaaac93de62457073fee7a31aa9	0.0	0.0	0.0	123.0	46.0	0.0	0.0	87.0	129.0	0.0	0.0	0.0	0.0	63.0	142.0	30.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	101.0	0.0
bd367ebfd9dc80df3b9cff11cd1e17b2	0.0	0.0	0.0	0.0	63.0	52.0	134.0	64.0	0.0	0.0	0.0	92.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	50.0	113.0	0.0	123.0	0.0	0.0	68.0	0.0
48968eaa0c7221b332ad0dd04ffad214	0.0	0.0	0.0	0.0	46.0	37.0	23.0	75.0	75.0	0.0	0.0	72.0	0.0	59.0	0.0	84.0	0.0	0.0	52.0	0.0	52.0	0.0	0.0	88.0	32.0	0.0	57.0	29.0	0.0	88.0	0.0
bfac068fa79655f6b7196fe6bde4ae52	0.0	0.0	0.0	157.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	0.0	0.0	0.0	0.0	0.0	226.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	44.0	0.0
08e77549f4fa5f97306f97e45b343a6e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	144.0	0.0	252.0	0.0
3efd2ea031b71ca5b26d4fcedc99067b	0.0	0.0	0.0	0.0	30.0	108.0	113.0	79.0	44.0	0.0	0.0	0.0	0.0	63.0	101.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	40.0	32.0	0.0	46.0	37.0	0.0	93.0	0.0
178a334fc53b2301c24e54ea6f1d4367	80.0	0.0	0.0	84.0	59.0	0.0	158.0	57.0	0.0	0.0	0.0	0.0	95.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	105.0	0.0	48.0	0.0
