	1-Dry-Soil	2-Dry-Soil	NEGATIVE	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
002b3ab2331f470087eba6531544c2d0	0.0	0.0	0.0	0.0	0.0	1677.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	403.0	0.0	0.0	0.0	0.0	680.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7b5d7d0705ee4e1006ffc6ef5d6cd70a	0.0	591.0	0.0	0.0	0.0	0.0	0.0	487.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0	799.0	0.0	0.0	0.0	0.0	771.0	0.0	0.0	0.0	0.0	0.0	0.0
e89c78f3c045eb85e61b5e3234c2a168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2977.0	0.0	0.0	0.0
ce8d70373439142eb405ffe7f3a13766	189.0	145.0	0.0	0.0	98.0	201.0	139.0	121.0	0.0	0.0	0.0	218.0	147.0	124.0	0.0	111.0	122.0	43.0	0.0	0.0	95.0	0.0	365.0	334.0	253.0	0.0	65.0	94.0	0.0	70.0	0.0
02ca75ed9a698ba90e6952c1e8ea8ca7	240.0	89.0	0.0	108.0	240.0	144.0	0.0	157.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	277.0	251.0	0.0	0.0	134.0	0.0	0.0	334.0	145.0	267.0	0.0	132.0	0.0	0.0	0.0	141.0
c0aadfeda3c3fafa1b564fdebd8d5e65	307.0	0.0	0.0	293.0	0.0	0.0	0.0	195.0	0.0	0.0	166.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	564.0	0.0	0.0	157.0	105.0	0.0	0.0	0.0	298.0	0.0	0.0	502.0
39c16ba52ff4be584f43ea98018fbf58	437.0	274.0	0.0	0.0	0.0	0.0	217.0	0.0	0.0	131.0	405.0	0.0	0.0	0.0	0.0	168.0	153.0	0.0	232.0	0.0	0.0	92.0	0.0	193.0	236.0	0.0	0.0	113.0	0.0	0.0	115.0
7405fc35a3637864b9c76f3a97c582b6	712.0	0.0	0.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	511.0	0.0	427.0	269.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	610.0	0.0	0.0	0.0	0.0	0.0	0.0
4ca086e6f2b473c19638690bc1f6b50c	0.0	394.0	0.0	136.0	0.0	357.0	0.0	0.0	405.0	588.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	344.0	0.0	0.0	0.0	201.0	215.0	0.0
a6b3c255258df59a92efe645d469775a	145.0	168.0	0.0	331.0	143.0	0.0	573.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	159.0	140.0	0.0	236.0	0.0	0.0	0.0	0.0	0.0	44.0	64.0	0.0	147.0	175.0	121.0	0.0
a857e870a8420b47c632d4ac99ea95c8	332.0	326.0	0.0	0.0	80.0	62.0	87.0	72.0	0.0	255.0	518.0	177.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	54.0	27.0	0.0	211.0	196.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0
cf7d0d3746f973e95a2f9223182c4624	0.0	0.0	0.0	272.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	253.0	0.0	0.0	271.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	0.0	0.0	342.0	763.0	0.0	0.0	0.0	0.0
cf1c6a7de76a5cd95b1befdffb1cd276	0.0	0.0	0.0	525.0	314.0	0.0	773.0	190.0	369.0	0.0	0.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0
3c0ecfcc28546d7fb6c7e84a9d89c0f3	534.0	355.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	196.0	0.0	277.0	176.0	140.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0
15ae088adc1dff4f7cbb037c093e0de5	261.0	232.0	0.0	0.0	0.0	0.0	171.0	0.0	0.0	211.0	289.0	322.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	354.0	235.0	298.0	0.0	0.0	0.0	0.0	0.0	0.0
abd02ab2247413aa6dec3d4b5ebd8492	1141.0	510.0	0.0	0.0	0.0	82.0	0.0	0.0	97.0	0.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.0	0.0	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17125c863368710b72ad8b1144733acd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2294.0	0.0	0.0	0.0	0.0	0.0
