Contig	T0.R.Dry.soil.A	T0.R.Dry.soil.B	T0.R.Dry.soil.C	T1.R.H218O.A	T1.R.H218O.B	T1.R.H218O.C	T1.R.H218O.P.A	T1.R.H218O.P.B	T1.R.H218O.P.C	T1.R.H2O.A	T1.R.H2O.B	T1.R.H2O.C	T1.R.H2O.P.A	T1.R.H2O.P.B	T1.R.H2O.P.C	T2.R.H218O.A	T2.R.H218O.B	T2.R.H218O.C	T2.R.H218O.P.A	T2.R.H218O.P.B	T2.R.H218O.P.C	T2.R.H2O.A	T2.R.H2O.B	T2.R.H2O.C	T2.R.H2O.P.A	T2.R.H2O.P.B	T2.R.H2O.P.C	T3.R.H218O.A	T3.R.H218O.B	T3.R.H218O.C	T3.R.H218O.P.A	T3.R.H218O.P.B	T3.R.H218O.P.C	T3.R.H2O.A	T3.R.H2O.B	T3.R.H2O.C	T3.R.H2O.P.A	T3.R.H2O.P.B	T3.R.H2O.P.C	Class	Order	host	Phylum
T1-R-H2O-A_NODE_2470_length_1461_cov_3.756115	260.34576	0	795.7429	0	0	0	0	0	0	624.98267	0	0	0	0	0	258.9719	76.58924	0	0	0	0	0	84.78337	145.50934	91.27492	0	0	193.09718	0	0	0	0	0	254.53143	528.8898	370.493	0	82.29765	889.27	Miaviricetes	Ourlivirales	NA	Lenarviricota
T1-R-H2O-A_NODE_2508_length_1455_cov_4.222543	0	0	0	0	0	0	0	0	0	635.213	0	104.38454	0	0	0	0	0	0	0	64.112885	0	0	0	86.33736	0	0	0	0	0	0	0	0	0	94.45386	0	0	0	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H2O-A_NODE_2877_length_1404_cov_4.636909	0	0	0	81.783966	0	0	0	0	0	840.7039	209.23056	0	0	0	0	0	0	342.61765	0	0	0	0	0	0	66.07341	0	0	0	0	0	0	124.59643	0	0	0	0	44.50037	0	0	Alsuviricetes	Tymovirales	Fungi	Kitrinoviricota
T1-R-H2O-A_NODE_3079_length_1377_cov_3.082695	0	0	0	59.56255	81.65699	0	0	0	0	210.25372	0	0	320.74536	461.91287	118.30519	0	0	0	99.46808	0	71.01071	151.53383	262.94638	140.35066	160.0013	129.6433	195.33643	0	0	0	87.5683	0	0	82.19169	0	49.136738	119.103935	0	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
T1-R-H2O-A_NODE_3129_length_1369_cov_2.627889	0	0	0	0	0	0	0	0	0	463.6345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.274315	0	0	0	0	0	74.161865	0	3355.503	Duplopiviricetes	Durnavirales	NA	Pisuviricota
T1-R-H2O-A_NODE_3499_length_1327_cov_3.718949	0	0	0	123.61362	0	0	0	0	0	637.74493	0	314.74655	0	0	0	209.09004	252.96959	0	0	0	0	0	337.47723	0	0	0	0	0	0	0	0	0	0	67.01247	342.0994	101.97632	0	0	0	Miaviricetes	Ourlivirales	NA	Lenarviricota
T1-R-H2O-A_NODE_3515_length_1326_cov_1.380876	0	0	0	0	0	0	0	0	0	109.170204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116.93363	0	0	0	0	128.45818	0	Alsuviricetes	Tymovirales	NA	Kitrinoviricota
T1-R-H2O-A_NODE_3576_length_1320_cov_2.024019	0	0	0	0	0	0	0	0	0	185.58936	0	0	0	0	0	0	0	218.65236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Howeltoviricetes	Cryppavirales	NA	Lenarviricota
T1-R-H2O-A_NODE_3701_length_1307_cov_2.010518	0	0	0	0	0	0	0	0	0	425.98935	0	0	68.730255	0	0	0	0	0	0	0	0	259.43066	0	0	0	0	0	0	0	0	0	0	0	0	0	452.97345	0	0	0	Amabiliviricetes	Wolframvirales	NA	Lenarviricota
T1-R-H2O-A_NODE_3707_length_1306_cov_4.422672	0	0	0	87.92089	139.90636	0	83.22145	78.925606	0	554.2102	257.06384	281.04297	120.37004	196.38086	0	135.19681	0	331.49435	157.3134	120.87723	106.95882	409.4155	350.19955	192.37497	168.69968	218.70609	112.33951	0	135.53526	0	149.4849	0	94.97947	464.24997	502.91098	129.52008	71.7594	122.75331	0	Leviviricetes	Levivirales	Bacteria	Lenarviricota
