asv	1-Dry-Soil	2-Dry-Soil	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
d857d34697047e3b40b5bcffc890d6cb	0.0	0.0	0.0	8.0	14.0	0.0	0.0	0.0	17.0	0.0	43.0	0.0	0.0	9.0	0.0	0.0	6.0	11.0	8.0	9.0	0.0	20.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
e454cdef497d00a4409ac2103fcc6619	32.0	21.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	5.0	11.0	10.0	0.0	0.0	0.0	0.0	0.0
2e05386f3739815eb54367981c971859	39.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3d80e29e89714a3ebd1b307335fc5c16	11.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	13.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	18.0	40.0	17.0	2.0	0.0	6.0	0.0	16.0	0.0
1a0fff4679f58aee29e9127b89781115	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	25.0	10.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
9dd4f00ed45275bba9dcd4e8adce5b04	13.0	12.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	16.0	0.0	14.0	0.0	6.0	0.0	0.0	11.0	0.0	0.0	0.0	14.0	0.0	0.0	5.0	0.0	0.0	0.0	18.0	0.0
a99ca1a686e1b4a03996e0893a07a5d7	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
ae1241d4582c9d26ac74f585b94ed617	23.0	10.0	0.0	0.0	12.0	0.0	8.0	0.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	3.0	11.0	28.0	6.0	0.0	0.0	9.0	0.0	0.0	0.0
cbe13cdd5df6cafbb9fc828614ae9832	4.0	0.0	0.0	6.0	8.0	0.0	0.0	0.0	12.0	16.0	18.0	0.0	3.0	0.0	10.0	0.0	3.0	0.0	0.0	0.0	0.0	48.0	5.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
13d96b2541fdac89895b2a3ac4d2c26d	0.0	0.0	0.0	0.0	0.0	24.0	16.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	34.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
