asv	superkingdom	phylum	class	order	family	genus	species
b7418791055e0589b0245b4568490f8f	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Sorocybe	Sorocybe oblongispora
b77c2e979709c20e59e01d7eaec1041a	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terrea
b79ffefe7f0ace9777fd6b414c3eddec	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia xinjiangensis
b7e1f8f8fb24b36b1f9f9127e6655375	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia albidosimilis
b7eb65f7cf3698bd3fe1788d5d6ed7fb	Eukaryota	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis moniliformis
b841e151b4b735764bd9aa69a562cf20	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella antarctica
b8dd52acbc844b1ea4abacf3e190f523	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Galerina	Galerina venenata
b8eba8a302c016e8570e1349bd616344	Eukaryota	Ascomycota	Dothideomycetes	NA	NA	Morenoina	Morenoina calamicola
b9359b5d25b888280f8f56001350d077	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylella	Dactylella tenuifusaria
b9f3e685b5ba4981ec04803c526488d6	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Hyalorbilia	Hyalorbilia oviparasitica
bb0e5c2be0ef239c01a60d9f3431056f	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella rostafinskii
bc02a3d016bf73267f2a806d4e06601f	Eukaryota	Ascomycota	Leotiomycetes	Leotiales	Tympanidaceae	Aotearoamyces	Aotearoamyces nothofagi
bc8f3b5a272481eecd204632a78202b4	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus prolifer
bdc89d4d4bcf52244d8054f1fbf2e3d3	Eukaryota	Mucoromycota	Glomeromycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora ecuadoriana
bdce7b3b609cbf764b7b9a0d0147a2d3	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella lapis
be7a1c1e36f40806c8f34292f900b3da	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria californica
be7e224e0fec4aff95276086e0ba8edb	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia separata
be8a1a4d203b466680824c71db396fd9	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Ascodesmis	Ascodesmis rosicola
bece9daf73c1b75a34bd6ce4388a59e0	Eukaryota	Ascomycota	Lecanoromycetes	Trapeliales	Trapeliaceae	Xylographa	Xylographa isidiosa
bef8e36b3100fc9b45067ff9c95ee4ba	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	Helvella bachu
bf349b3600b0ee6bf39b3bcb5a9e418f	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pleospora	Pleospora iqbalii
bfba4ddbeec023210b13efcd26116fb8	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Sorocybe	Sorocybe oblongispora
c06ff16628e724cf248570e522c1ab96	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia epipora
c11e7a819ecfc242dba3a7f04089a5c3	Eukaryota	Basidiomycota	Exobasidiomycetes	Tilletiales	Tilletiaceae	Tilletia	Tilletia puccinelliae
c265fc81a9c9ed514d46feb820cf0f36	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Sorocybe	Sorocybe oblongispora
c26b4645462f0bdaf11312df3740a31c	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia dorsalia
c2d4ec624191ede5db9000c73839568c	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Circinella	Circinella umbellata
c31aadb72148cfa01b6e38714efd18a2	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora recurvata
c4b386a8cd60455032597da9fc9fc9eb	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria eureka
c55ddb94f5bf427ed4f1cf39e3330b45	Eukaryota	Ascomycota	Dothideomycetes	Microthyriales	NA	Neoscolecobasidium	Neoscolecobasidium agapanthi
c5d7ff3b95ba025f5ce2777e43059bae	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta triticicola
c6d5bee829343ba4562e8187c85f8e2b	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	Arthrobotrys reticulatus
c70f03e7ca720c81569a4b384fefb9a8	Eukaryota	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis dimorpha
c79ef435868fa6741be5fce7d9ceaca8	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium fellutanum
c7d71ff1256fe995a504abdea2fb0db5	Eukaryota	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces acuminatus
c7e3ec5132f03f4db7ed7c102f9a0cec	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius ohlone
